theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.0,10000,0.01,0.95,0.019556462822787543,0.9685458384772783,9996.63,45.79287143375342,0.999663,0.00457928714337538,inf,inf,,0.012,500
0.0,10000,0.01,0.99,-0.13533881491676564,1.0133952591186055,9996.466,54.53517226550248,0.9996466,0.005453517226550271,inf,inf,,0.006,500
0.0,10000,0.05,0.8,-0.09714636070089441,0.9231111511359797,9930.528,405.39284642908007,0.9930528000000001,0.04053928464290801,inf,inf,,0.062,500
0.0,10000,0.05,0.9,-0.1230897597495272,0.9467748709850726,9954.034,265.6482237877816,0.9954034,0.026564822378778163,inf,inf,,0.048,500
0.0,10000,0.05,0.95,-0.08177092933070972,0.8778173966619292,9965.256,261.09924568292485,0.9965256,0.02610992456829249,inf,inf,,0.038,500
0.0,10000,0.05,0.99,-0.0063276493405017694,0.8923513771236269,9981.664,144.40257376730227,0.9981663999999999,0.014440257376730234,inf,inf,,0.048,500
0.0,50000,0.01,0.8,0.03257601218837416,0.9988077091159249,49949.462,715.0591582208505,0.99898924,0.01430118316441699,inf,inf,,0.016,500
0.0,50000,0.01,0.9,0.013111073121919059,0.9224659541679036,49950.724,619.9205778724714,0.99901448,0.01239841155744939,inf,inf,,0.008,500
0.0,50000,0.01,0.95,-0.0680174484281585,0.9316770784215183,49997.068,65.56151310029412,0.99994136,0.0013112302620058637,inf,inf,,0.002,500
0.0,50000,0.01,0.99,-0.09289696027467317,0.997227879746407,49988.084,217.66794806592554,0.99976168,0.00435335896131852,inf,inf,,0.008,500
0.0,50000,0.05,0.8,-0.010334078914864916,0.9106559161815578,49589.772,2223.96013394367,0.99179544,0.04447920267887336,inf,inf,,0.066,500
0.0,50000,0.05,0.9,-0.03643753158136203,0.9736302688041127,49800.098,1440.1492200282225,0.9960019600000001,0.02880298440056443,inf,inf,,0.042,500
0.0,50000,0.05,0.95,-0.07519514993898595,0.8969453921490421,49807.0,1330.7552272863334,0.99614,0.026615104545726673,inf,inf,,0.048,500
0.0,50000,0.05,0.99,-0.04335929164815509,0.9078675122331908,49845.566,965.9095444917596,0.99691132,0.019318190889835194,inf,inf,,0.054,500
0.05,1000,0.01,0.8,1.0834462575779362,0.6505641962874821,957.606,96.29078145485357,0.957606,0.09629078145485365,2003.5995874221069,2.003599587422107,0.5220571984484758,0.262,500
0.05,1000,0.01,0.9,1.1331157596326984,0.6646373032425469,973.892,70.14262835555316,0.9738920000000001,0.07014262835555313,2281.835959587011,2.2818359595870112,0.5731980662727988,0.194,500
0.05,1000,0.01,0.95,1.1520610498766404,0.6340197272301303,979.406,57.41681413218765,0.979406,0.057416814132187646,2511.6083581230255,2.5116083581230253,0.6100482796880284,0.206,500
0.05,1000,0.01,0.99,1.15588241838227,0.6781077678443092,986.22,42.21250277798704,0.98622,0.04221250277798703,2942.6231647438217,2.9426231647438215,0.6648500522200375,0.2,500
0.05,1000,0.05,0.8,0.7978697354524605,0.41986424189808635,890.54,159.2856812664372,0.89054,0.15928568126643727,1572.5847808013107,1.5725847808013107,0.43370938669123754,0.49,500
0.05,1000,0.05,0.9,0.8568016279840864,0.4602149434220584,912.522,131.13867553258606,0.912522,0.131138675532586,1850.8211529662149,1.8508211529662149,0.5069637071428817,0.502,500
0.05,1000,0.05,0.95,0.907849017055328,0.4455648998681234,936.198,106.96089032969117,0.936198,0.10696089032969129,2080.5935515022297,2.0805935515022296,0.5500332107998477,0.452,500
0.05,1000,0.05,0.99,0.9330549088224422,0.4627423933869563,960.796,73.08231272247569,0.9607960000000001,0.07308231272247569,2511.6083581230255,2.5116083581230253,0.6174578743964596,0.418,500
0.05,5000,0.01,0.8,0.9193198797831628,0.3677661863039068,3752.31,868.3416495485412,0.750462,0.17366832990970812,4480.184877166364,0.8960369754332727,0.16246536630129677,0.876,500
0.05,5000,0.01,0.9,1.007800466648209,0.32611505559826265,3943.584,738.4711302172407,0.7887168,0.14769422604344815,5102.340319140019,1.020468063828004,0.2271029070313608,0.896,500
0.05,5000,0.01,0.95,1.0482163933952626,0.3084763525161961,4033.558,692.4829933132336,0.8067116,0.13849659866264677,5616.127021619721,1.1232254043239442,0.28179010473365323,0.898,500
0.05,5000,0.01,0.99,1.097661593210377,0.3244084634605235,4294.302,554.7063918491622,0.8588604000000001,0.11094127836983253,6579.9054285327475,1.3159810857065495,0.347361136623876,0.886,500
0.05,5000,0.05,0.8,0.8096778040674176,0.06212797556650724,3007.922,805.658104830926,0.6015843999999999,0.16113162096618525,3516.406470253337,0.7032812940506674,0.14460343949279109,0.988,500
0.05,5000,0.05,0.9,0.9114492409223129,0.09019915009436408,3360.27,797.882752585709,0.6720539999999999,0.15957655051714184,4138.561912226994,0.8277123824453987,0.1880585403174961,0.966,500
0.05,5000,0.05,0.95,0.9593989350500239,0.06614665465628625,3562.932,752.0720817903142,0.7125864000000001,0.15041441635806285,4652.348614706694,0.9304697229413389,0.23416487132174552,0.972,500
0.05,5000,0.05,0.99,0.9950528326222949,0.060232855356734276,3828.328,671.5939825301755,0.7656656000000001,0.13431879650603507,5616.127021619721,1.1232254043239442,0.3183330816303564,0.97,500
0.05,10000,0.01,0.8,0.8053517513063839,0.06366497190715534,5713.338,1370.1389247452987,0.5713338,0.13701389247452989,6335.93821522751,0.633593821522751,0.09826488107652007,0.998,500
