theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.05,10000,0.01,0.25,0.1,0.05995933523514461,0.03462005541781902,0.7829962287145769,0.36931501773732095,0.7786350148367952,0.3705938449798904,5806.116913946587,6806.116913946587,0.6806116913946587,0.9934718100890209,337,3370
0.05,10000,0.01,0.25,0.25,0.0648570308254815,0.020216729579979175,0.9181289799662996,0.2682089778608154,0.8985074626865671,0.26504294216981106,5798.257711442786,8298.257711442786,0.8298257711442787,0.9796019900497512,201,2010
0.05,10000,0.01,0.25,0.5,0.07254499401217888,0.016642964515606987,0.9461958746492124,0.22287521734978621,0.8256410256410257,0.2197102741985319,4223.3,9223.300000000001,0.92233,0.8717948717948718,39,390
0.05,10000,0.01,0.5,0.1,0.05004646369550132,0.029542873223529678,0.5548039311017692,0.4758115525935944,0.5542,0.4720253975708339,4147.5938,5147.5938,0.51475938,0.995,500,5000
0.05,10000,0.01,0.5,0.25,0.04905911998173463,0.02020932568008494,0.4930116667350441,0.49579225812286926,0.4898,0.4816845440742314,3067.8204,5567.8204000000005,0.55678204,0.9873999999999999,500,5000
0.05,10000,0.01,0.5,0.5,0.04928904341146543,0.01488772016412994,0.23318692749237582,0.42012058846423794,0.21730337078651685,0.3768550634394656,1023.8114606741573,6023.811460674157,0.6023811460674158,0.9743820224719102,445,4450
0.05,10000,0.01,0.5,0.75,0.02281710332353846,0.0043458674437396915,9.367914234341838e-07,3.2771746208538084e-06,0.0,0.0,1.0,7501.0,0.7501,1.0,15,150
0.05,10000,0.01,0.75,0.1,0.04519198155370689,0.0262018487974868,0.7241003290946589,0.3762783670471723,0.7173423423423423,0.3799027556574529,5493.1549549549545,6493.1549549549545,0.6493154954954955,0.9948198198198198,444,4440
0.05,10000,0.01,0.75,0.25,0.049970756664793066,0.018941095633496188,0.7868252142787221,0.3150185789927837,0.7712851405622491,0.3189500427949077,5119.427309236948,7619.427309236948,0.7619427309236948,0.9775100401606426,498,4980
0.05,10000,0.01,0.75,0.5,0.04934249054333832,0.013828997737566469,0.5283810652251304,0.39722076129700906,0.4702,0.37068419651651474,3042.0652,8042.0652,0.8042065199999999,0.9242,500,5000
0.05,10000,0.01,0.75,0.75,0.04974766359826607,0.012101198729121854,0.004872299061140941,0.06123641003310291,0.008400000000000001,0.04210683996625594,10.3682,7510.3682,0.75103682,0.998,500,5000
0.05,10000,0.01,0.75,0.9,0.04436549489882021,0.0072728751898596174,1.6727291720253035e-06,1.2536809252666047e-05,0.011764705882352941,0.03610762867597009,1.0,9001.0,0.9000999999999999,1.0,306,3060
0.05,10000,0.05,0.25,0.1,0.05333786788467059,0.03626558111803692,0.721627130627721,0.3910430795378185,0.7313131313131314,0.380644746738395,4658.223737373738,5658.223737373738,0.5658223737373738,0.9997474747474747,396,3960
0.05,10000,0.05,0.25,0.25,0.05663731242124659,0.020965580160469555,0.8864270778954368,0.306563112732549,0.8858085808580858,0.300159874054395,5109.838283828383,7609.838283828383,0.7609838283828383,0.9963696369636963,303,3030
0.05,10000,0.05,0.25,0.5,0.06707848883067702,0.008358969731308643,0.9898489432351372,0.08686266598816436,0.9621212121212122,0.10153802208183174,4023.6280303030303,9023.628030303029,0.902362803030303,0.9681818181818181,132,1320
0.05,10000,0.05,0.5,0.1,0.048518195752803535,0.03229957047688454,0.54959765053865,0.4576537493342585,0.551,0.45672332148114525,3568.6526,4568.652599999999,0.45686526,0.9992000000000001,500,5000
0.05,10000,0.05,0.5,0.25,0.04948558031268001,0.02055460419999973,0.6824069428964429,0.4510196485522321,0.6884,0.43557420697231286,3838.9584,6338.9584,0.6338958399999999,0.996,500,5000
0.05,10000,0.05,0.5,0.5,0.05001853734418583,0.014290153480756062,0.44698163960663784,0.492582053608238,0.4598,0.4576711546203705,1769.699,6769.699,0.6769698999999999,0.9848,500,5000
0.05,10000,0.05,0.5,0.75,0.028041976264293677,0.010418619634877176,0.030010045312895008,0.17239176148645047,0.06363636363636364,0.14962073264211628,68.61212121212121,7568.612121212122,0.7568612121212122,0.9939393939393939,33,330
0.05,10000,0.05,0.75,0.1,0.04227686370779541,0.02507355493268765,0.8049546035160541,0.32664641574141334,0.8037914691943128,0.33174817184613403,5151.207819905214,6151.207819905214,0.6151207819905212,0.9990521327014219,422,4220
