theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_z_hat,sd_z_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
1.0,1000,0.05,0.5,0.5,1.0005981494838505,0.0434412162383129,20.72920117711238,0.9713751253413532,0.99999,0.0,0.9999600000000001,0.0008944271909999224,120.86547999999999,620.8654799999999,0.6208654800000001,1.0,500,25000
1.0,1000,0.05,0.5,0.75,0.9987019584332276,0.03647740757283051,14.146010834647555,0.5767584553420935,0.99999,0.0,1.0,0.0,82.39403999999999,832.39404,0.8323940400000001,1.0,500,25000
1.0,1000,0.05,0.5,0.9,1.0009060150960127,0.033747697414100226,8.364206524008559,0.3374769741412163,0.99999,0.0,1.0,0.0,48.291160000000005,948.29116,0.94829116,1.0,500,25000
1.0,2000,0.05,0.5,0.1,0.9987558910035409,0.0715352963381734,40.7287701697655,3.0349855880946977,0.99999,0.0,1.0,0.0,239.32432,439.32432,0.21966215999999997,1.0,500,25000
1.0,2000,0.05,0.5,0.25,1.000813192426364,0.04122850687471223,37.11647464236839,1.596773205147584,0.99999,0.0,1.0,0.0,217.33276,717.33276,0.35866637999999995,1.0,500,25000
1.0,2000,0.05,0.5,0.5,0.9977081856859603,0.03283250129353537,29.905449442666903,1.0382548536799638,0.99999,0.0,0.9999600000000001,0.0008944271909999394,175.39712,1175.39712,0.5876985600000001,1.0,500,25000
1.0,2000,0.05,0.5,0.75,0.9994353868109818,0.02637577642822529,20.703201013330048,0.5897802905284831,0.99999,0.0,1.0,0.0,120.87792,1620.87792,0.8104389599999999,1.0,500,25000
1.0,2000,0.05,0.5,0.9,0.9999974980508971,0.023062205123697447,12.497246613875943,0.32614883264163247,0.99999,0.0,0.9999600000000001,0.0008944271909999184,72.4838,1872.4838,0.9362419,1.0,500,25000
1.0,5000,0.05,0.5,0.1,1.0004623579561929,0.04465680644453972,65.46820161264178,2.9956696460412453,0.99999,0.0,1.0,0.0,384.79940000000005,884.7994,0.17695987999999996,1.0,500,25000
1.0,5000,0.05,0.5,0.25,0.9999571076336049,0.029342997297178756,59.589763332339764,1.7968842725488492,0.99999,0.0,1.0,0.0,350.2448,1600.2448,0.32004895999999994,1.0,500,25000
1.0,5000,0.05,0.5,0.5,0.9983724043589349,0.02032104307405585,48.27376659099527,1.0160521537027913,0.99999,0.0,1.0,0.0,283.99992,2783.9999199999997,0.556799984,1.0,500,25000
